Channel,Store Type,Store Name,Bill To,Store Location,Status
DISTRIBUTION,GOOD,"UNION INKS AND GRAPHICS PHILIPPINES, INC.CRP",,,ACTIVE
DISTRIBUTION,GOOD,VALUELINE SYSTEMS & SOLUTIONS CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,VCY SALES CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,VIRTUSIO PR INTERNATIONAL INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,WEBB FONTAINE ASIA INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,WINGS TECHNOLOGY ENTERPRISE INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,W LANDMARK INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,YNZAL MARKETING CORP.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ZIMZAM MANAGEMENT INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ABENSON.DEPOT.PASIG.OUT,,,ACTIVE
DISTRIBUTION,GOOD,ABENSON.AYALA.TRINOMA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,ALLHOME CORP.STARMALL.LAS PINAS.OUT,,,ACTIVE
DISTRIBUTION,GOOD,FAMILY SHOPPERS.STARMALL.ALABANG.OUT,,,ACTIVE
DISTRIBUTION,GOOD,FAMILY SHOPPERS.EVIA.LAS PINAS.CON,,,ACTIVE
DISTRIBUTION,GOOD,AUTOMATIC CENTER.AYALA.GREENBELT 1.OUT,,,ACTIVE
DISTRIBUTION,GOOD,GAGDETS IN STYLE.HEAD OFFICE.OUT,,,ACTIVE
DISTRIBUTION,GOOD,I STUDIO.AYALA.BONIFACIO HIGH STREET.OUT,,,ACTIVE
DISTRIBUTION,GOOD,I STUDIO.SHANGRI-LA.EDSA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,PC EXPRESS.SAN JUAN.OUT,,,ACTIVE
DISTRIBUTION,GOOD,TOBY'S.E-COMMERCE.OUT,,,ACTIVE
DISTRIBUTION,GOOD,GLOBE.HEAD OFFICE.OUT,,,ACTIVE
DISTRIBUTION,GOOD,MOBILE 1.ROCKWELL.POWERPLANT.OUT,,,ACTIVE
DISTRIBUTION,GOOD,AMBASSADOR.AYALA.GLORIETTA 2.OUT,,,ACTIVE
DISTRIBUTION,GOOD,AMBASSADOR.SHANGRI-LA.EDSA.OUT,,,ACTIVE
DISTRIBUTION,GOOD,QUEST CAR ACCESSORIES ENTERPRISES.HEAD OFFICE.OUT,,,ACTIVE
DISTRIBUTION,GOOD,RUSTANS.HEAD OFFICE.OUT,,,ACTIVE
DISTRIBUTION,GOOD,THE LANDMARK.RECORD BAR.MAKATI.OUT,,,ACTIVE
DISTRIBUTION,GOOD,TALTRUST INC.CRP,,,ACTIVE
DISTRIBUTION,GOOD,ABS-CBN CORPORATION.CRP,,,ACTIVE
DISTRIBUTION,GOOD,PH.ARRIVA INC.CRP,,,ACTIVE
